Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
36,gradients/encoder.roberta.encoder.layer.9.output.LayerNorm.weight,1.5320837552694596e-08,1.0441546437044183e-08,1.2764993387600404e-17,8.508090655355474e-09,1.913847818830628e-08,3.572813091612882e-09,0.0,-0.3711725303784553,8.772625268611359
37,gradients/encoder.roberta.encoder.layer.9.output.LayerNorm.bias,1.2393089825318132e-07,1.0151301605834933e-07,1.9049693316069203e-15,9.546239269752163e-08,2.435129976256486e-07,4.364595435555191e-08,0.04896359559729773,-0.18877021048877018,-0.3141374959642269
38,gradients/encoder.roberta.encoder.layer.9.output.dense.bias,1.4367493346533522e-08,1.172190521105449e-08,9.422692849676646e-18,9.576553834936172e-09,1.997403706111009e-08,3.0696405082153584e-09,0.0,0.07621331116388523,0.7865453011628871
39,gradients/encoder.roberta.encoder.layer.9.output.dense.weight,5.304935256427009e-07,1.5270296078422546e-07,4.3809306301555766e-14,9.614655750932957e-08,7.878915785397088e-07,2.0930672779811867e-07,0.0,0.04038826410391752,36.37357897082284
40,gradients/encoder.roberta.encoder.layer.9.intermediate.dense.bias,6.757201698894577e-09,2.458160039960077e-09,4.8017534453820825e-18,1.0510123846172406e-09,8.676960150628232e-09,2.1912903608107447e-09,0.06110018777764931,-0.22185388217868385,6.747614837970536
41,gradients/encoder.roberta.encoder.layer.9.intermediate.dense.weight,2.510450555137403e-07,3.447075138373126e-07,7.318875186197278e-15,9.900352752249097e-08,4.2771729253960545e-07,8.555042481599542e-08,0.0,0.878552212662871,56.03366180403285
42,gradients/encoder.roberta.encoder.layer.9.attention.output.LayerNorm.weight,3.7991236201149135e-06,1.6444694437342163e-06,1.7751935598626538e-12,1.101056677521543e-06,6.171529456928916e-06,1.3323638991892015e-06,0.0,-0.8211389332174308,7.898405906496328
43,gradients/encoder.roberta.encoder.layer.9.attention.output.LayerNorm.bias,9.657097909546437e-09,1.8928441892776334e-08,9.280383226365642e-17,9.040932117282924e-09,3.9739936685276055e-08,9.633474568589279e-09,0.0035077114787086146,0.05750517965433884,-0.06938803762361655
44,gradients/encoder.roberta.encoder.layer.9.attention.output.dense.bias,4.278188465272298e-08,4.8217679706541597e-08,2.6434767093559857e-16,9.244160784284908e-09,5.862953751321107e-08,1.6258772122629635e-08,0.0,0.25276541017903303,-0.3512058726575874
45,gradients/encoder.roberta.encoder.layer.9.attention.output.dense.weight,3.6221825181129946e-07,1.725499427373244e-07,3.4622504738442626e-14,9.297219836680718e-08,7.167185183456329e-07,1.8607123565570965e-07,0.02456455576967165,-0.002122534341255672,6.585305641056788
46,gradients/encoder.roberta.encoder.layer.9.attention.self.value.bias,3.789295487669531e-07,2.6782495279385933e-07,8.144753151272179e-15,9.105263929144501e-08,3.828645599158155e-07,9.024828614035939e-08,0.0,0.12459469288055958,1.0887702236918528
47,gradients/encoder.roberta.encoder.layer.9.attention.self.value.weight,1.168603111001434e-08,1.2997324450223677e-08,1.539475686195295e-17,9.203044172335602e-09,2.2511864154348722e-08,3.9236152795544245e-09,0.014291037994481254,0.6646837516659196,319.41010833725966
48,gradients/encoder.roberta.encoder.layer.9.attention.self.key.bias,4.615331352641665e-09,1.4098055730471636e-09,1.0223152470029087e-18,9.971579790852844e-10,4.6802322147015e-09,1.0110960622032452e-09,0.0,2.260436166572448,21.120471136868588
49,gradients/encoder.roberta.encoder.layer.9.attention.self.key.weight,1.3709438156556862e-06,2.505030866363557e-06,3.6009723500845997e-13,9.815933245341154e-07,3.2599945651862196e-06,6.000810237030162e-07,0.0633488588481676,-3.2534756689893505,913.1991160320842
50,gradients/encoder.roberta.encoder.layer.9.attention.self.query.bias,2.2953475490985005e-07,3.241602968439386e-07,4.0969840363258486e-14,9.999947566750432e-08,7.925394843088969e-07,2.024100796977722e-07,0.0,-0.45605183998668125,16.482842139281434
51,gradients/encoder.roberta.encoder.layer.9.attention.self.query.weight,2.5289623640430305e-08,4.1014266911846034e-08,2.758625041838297e-16,9.778709264441115e-09,6.351839205913791e-08,1.6609109072549006e-08,0.03210343980502186,-1.8539850172926273,88.87845913441923
52,gradients/encoder.roberta.encoder.layer.8.output.LayerNorm.weight,1.5049660977821407e-07,1.2748039606004654e-07,6.821320845928308e-15,1.0694748654587707e-07,4.309383201667379e-07,8.259128795416808e-08,0.021896240160852107,-6.093554240650019,96.9729819716426
53,gradients/encoder.roberta.encoder.layer.8.output.LayerNorm.bias,4.794210951329326e-06,3.939555046185257e-06,3.2004286595514327e-12,8.466035241508884e-07,6.039266981329711e-06,1.7889741919746728e-06,0.0,-0.1096724848078704,0.2308237546748159
54,gradients/encoder.roberta.encoder.layer.8.output.dense.bias,8.384447129367816e-07,1.9691941502882375e-07,4.6951633775676775e-14,1.0207345616531566e-07,8.651311995632466e-07,2.1668325679589734e-07,0.0,0.12897815405783167,0.40954638639179913
55,gradients/encoder.roberta.encoder.layer.8.output.dense.weight,5.0466499018866845e-08,6.909236141297096e-08,3.24364956950096e-16,1.0444690570939531e-08,8.011167328905571e-08,1.8010134839864362e-08,0.0,-0.27772732967197716,25.82235342775222
56,gradients/encoder.roberta.encoder.layer.8.intermediate.dense.bias,2.4389601829105945e-08,2.1946078125762848e-08,2.0272870508928752e-17,1.1064752750609604e-08,2.7422796706001923e-08,4.502540450559967e-09,0.04689747374356643,-0.7188261748243195,15.339442272611114
57,gradients/encoder.roberta.encoder.layer.8.intermediate.dense.weight,4.073363624051329e-06,3.6329529814941207e-06,4.386452641446365e-12,9.635678818312985e-07,8.045208811597577e-06,2.094385981963775e-06,0.0,-0.5603786627330456,51.14975024586856
58,gradients/encoder.roberta.encoder.layer.8.attention.output.LayerNorm.weight,2.7554218236912856e-06,1.7243187060392202e-06,3.7342177464566963e-13,9.567324852746332e-07,2.95622134573585e-06,6.110824614122629e-07,0.047468487805383056,0.948836515162255,6.534947714513441
59,gradients/encoder.roberta.encoder.layer.8.attention.output.LayerNorm.bias,7.072014550131894e-07,4.2960218571033154e-07,5.618367453871824e-14,1.12085861673868e-07,1.0601629023098463e-06,2.3703095692064832e-07,0.02364312593301068,-0.250145561553448,0.15586813674409272
60,gradients/encoder.roberta.encoder.layer.8.attention.output.dense.bias,7.580779026945078e-07,2.2917214675239412e-07,4.548425486896342e-14,1.032200283291208e-07,9.33628588040518e-07,2.1327037972715158e-07,0.0,-0.014285339028254573,0.8534320230116372
61,gradients/encoder.roberta.encoder.layer.8.attention.output.dense.weight,4.384969906300038e-06,4.908489627066728e-06,2.10989819763838e-12,8.929499137313814e-07,5.472896418211598e-06,1.4525488623927182e-06,0.0,-0.016225414951377262,9.678033015543365
62,gradients/encoder.roberta.encoder.layer.8.attention.self.value.bias,1.703253405860176e-08,2.2402190180951902e-08,1.1009978491869384e-17,1.1699401393916366e-08,2.5123270698074318e-08,3.3181287636059845e-09,0.0,-1.3312075699239605,10.43121963034948
63,gradients/encoder.roberta.encoder.layer.8.attention.self.value.weight,4.925366443897603e-06,4.0665199135916894e-06,2.97811264461351e-12,9.842247644708483e-07,6.663525166179009e-06,1.725720905770545e-06,0.08539034217393623,-0.46644895110340084,36.35812117624215
64,gradients/encoder.roberta.encoder.layer.8.attention.self.key.bias,2.9670776533263776e-08,3.273939145540979e-08,1.7894888869853783e-16,9.556787957954498e-09,5.973495306886739e-08,1.3377177904869839e-08,0.05012011523225843,-2.1791638735306473,23.356300909159184
65,gradients/encoder.roberta.encoder.layer.8.attention.self.key.weight,1.1396311335274344e-07,6.01016345366888e-07,2.9041978699524054e-14,1.0363468032780927e-07,6.73945458347002e-07,1.7041707279355574e-07,0.009655513530729,-0.3832902069751092,59.18785968761447
66,gradients/encoder.roberta.encoder.layer.8.attention.self.query.bias,2.2537562433433913e-07,5.338026747492656e-07,3.2789307461361334e-14,1.1434968243029178e-07,8.422023015558252e-07,1.810781805225614e-07,0.0,-0.6042588043639658,5.134646563164738
